AltersgruppeID;Altersgruppe;Bundesland;BundeslandID;AnzEinwohner;Geschlecht;Anzahl;AnzahlGeheilt;AnzahlTot
6;45-54;Kärnten;2;42248;M;3285;3237;11
6;45-54;Kärnten;2;43197;W;3861;3812;3
6;45-54;Niederösterreich;3;132507;M;9386;9303;13
6;45-54;Niederösterreich;3;133561;W;10134;10035;11
6;45-54;Oberösterreich;4;111122;M;10033;9922;14
6;45-54;Oberösterreich;4;109542;W;10942;10838;5
6;45-54;Salzburg;5;40972;M;4177;4151;5
6;45-54;Salzburg;5;42207;W;4627;4597;3
6;45-54;Steiermark;6;94416;M;6744;6707;20
6;45-54;Steiermark;6;92354;W;7469;7438;6
6;45-54;Tirol;7;56912;M;5230;5200;8
6;45-54;Tirol;7;57521;W;5656;5637;3
6;45-54;Vorarlberg;8;30023;M;2578;2564;2
6;45-54;Vorarlberg;8;29851;W;2773;2760;0
6;45-54;Wien;9;134056;M;10537;10244;36
6;45-54;Wien;9;137059;W;10993;10750;19
6;45-54;Österreich;10;665454;M;53514;52858;113
6;45-54;Österreich;10;668403;W;58155;57560;52
7;55-64;Burgenland;1;23739;M;1422;1392;24
7;55-64;Burgenland;1;23841;W;1267;1252;6
7;55-64;Kärnten;2;43390;M;3057;3019;22
7;55-64;Kärnten;2;45306;W;2920;2879;14
7;55-64;Niederösterreich;3;124044;M;7856;7721;75
7;55-64;Niederösterreich;3;125362;W;7008;6933;31
7;55-64;Oberösterreich;4;107183;M;8459;8327;74
7;55-64;Oberösterreich;4;107982;W;7883;7775;22
7;55-64;Salzburg;5;37432;M;3444;3394;25
7;55-64;Salzburg;5;40224;W;3311;3275;11
7;55-64;Steiermark;6;90939;M;5651;5566;66
7;55-64;Steiermark;6;92404;W;5229;5181;40
7;55-64;Tirol;7;51443;M;4488;4455;16
7;55-64;Tirol;7;52659;W;4059;4040;5
7;55-64;Vorarlberg;8;26503;M;2053;2033;13
7;55-64;Vorarlberg;8;26569;W;1955;1936;7
7;55-64;Wien;9;113414;M;7855;7488;107
7;55-64;Wien;9;118686;W;6918;6666;51
7;55-64;Österreich;10;618087;M;44285;43395;422
7;55-64;Österreich;10;633033;W;40550;39937;187
8;65-74;Burgenland;1;16429;M;710;666;41
8;65-74;Burgenland;1;17400;W;657;647;9
8;65-74;Kärnten;2;28957;M;1547;1463;73
8;65-74;Kärnten;2;32719;W;1588;1539;31
8;65-74;Niederösterreich;3;78908;M;3557;3361;158
8;65-74;Niederösterreich;3;87896;W;3458;3367;71
8;65-74;Oberösterreich;4;66173;M;3795;3580;187
8;65-74;Oberösterreich;4;72610;W;3644;3538;75
8;65-74;Salzburg;5;24832;M;1558;1499;47
8;65-74;Salzburg;5;29066;W;1553;1518;25
8;65-74;Steiermark;6;58267;M;2873;2689;177
8;65-74;Steiermark;6;66010;W;2869;2758;104
8;65-74;Tirol;7;32227;M;1938;1869;58
8;65-74;Tirol;7;36747;W;2035;1992;31
8;65-74;Vorarlberg;8;16802;M;946;908;32
8;65-74;Vorarlberg;8;18708;W;997;978;16
8;65-74;Wien;9;70556;M;3488;2976;245
8;65-74;Wien;9;87728;W;3585;3229;141
8;65-74;Österreich;10;393151;M;20412;19011;1018
8;65-74;Österreich;10;448884;W;20386;19566;503
9;75-84;Burgenland;1;9974;M;434;370;61
9;75-84;Burgenland;1;12803;W;561;506;54
9;75-84;Kärnten;2;19150;M;1253;1082;159
9;75-84;Kärnten;2;25643;W;1566;1451;102
9;75-84;Niederösterreich;3;57182;M;2594;2216;348
9;75-84;Niederösterreich;3;72202;W;3073;2819;230
9;75-84;Oberösterreich;4;43017;M;2579;2212;346
9;75-84;Oberösterreich;4;58203;W;3132;2912;195
